ID,Title,Date,Type,URL,Local PDF,Full Citation,Core/Strand,Contribution,Role in Argument,Local MD,Peer Review Notes,Authorial Contributions,Authorial CRediT,GitHub URL,Posted
SBW-040,Early Modern Letters Online,2012-01-30,Blog Post,http://www.scottbot.net/HIAL/,Weingart - 2012 - Early Modern Letters Online.pdf,"Weingart, Scott B. 2012. “Early Modern Letters Online.” Blog. The Scottbot Irregular, January 30. http://www.scottbot.net/HIAL/.",,,,2012-01-30-early-modern-letters-online,,,,,
SBW-041,Flow and Empty Space,2012-02-19,Blog Post,http://www.scottbot.net/HIAL/?p=11621,Weingart - 2012 - Flow and Empty Space.pdf,"Weingart, Scott B. 2012. “Flow and Empty Space.” Blog. The Scottbot Irregular, February 19. http://www.scottbot.net/HIAL/?p=11621.",,,,2012-02-19-flow-and-empty-space,,,,,
SBW-042,Topic Nets,2012-10-11,Blog Post,,Weingart - 2012 - Topic Nets.pdf,"Weingart, Scott B. 2012. “Topic Nets.” Blog. The Scottbot Irregular, October 11.",,,,2012-10-11-topic-nets,,,,,
SBW-043,Avoiding Traps,2012-01-23,Blog Post,http://www.scottbot.net/HIAL/?p=8832,Weingart - 2012 - Avoiding traps.pdf,"Weingart, Scott B. 2012. “Avoiding Traps.” Blog. The Scottbot Irregular, January 23. http://www.scottbot.net/HIAL/?p=8832.",,,,2012-01-23-avoiding-traps,,,,,
SBW-044,Quick Followup to Avoiding Traps,2012-01-24,Blog Post,,Weingart - 2012 - Quick Followup to Avoiding Traps.pdf,"Weingart, Scott B. 2012. “Quick Followup to Avoiding Traps.” Blog. The Scottbot Irregular, January 24.",,,,2012-01-24-quick-followup-to-avoiding-traps,,,,,
SBW-045,More Heavy-Handed Culturomics,2012-02-27,Blog Post,,Weingart - 2012 - More Heavy-Handed Culturomics.pdf,"Weingart, Scott B. 2012. “More Heavy-Handed Culturomics.” Blog. The Scottbot Irregular, February 27.",,,,2012-02-27-more-heavy-handed-culturomics,,,,,
SBW-046,On Keeping Pledges,2012-02-20,Blog Post,http://www.scottbot.net/HIAL/?p=11755,Weingart - 2012 - On Keeping Pledges.pdf,"Weingart, Scott B. 2012. “On Keeping Pledges.” Blog. The Scottbot Irregular, February 20. http://www.scottbot.net/HIAL/?p=11755.",,,,2012-02-20-on-keeping-pledges,,,,,
SBW-048,The Networked Structure of Scientific Growth,2012-02-22,Blog Post,,Weingart - 2012 - The Networked Structure of Scientific Growth.pdf,"Weingart, Scott B. 2012. “The Networked Structure of Scientific Growth.” Blog. The Scottbot Irregular, February 22.",,,,2012-02-22-the-networked-structure-of-scientific-growth,,,,,
SBW-049,Citing ODH’s Summer Institutes,2012-02-10,Blog Post,http://www.scottbot.net/HIAL/,Weingart - 2012 - Citing ODH’s Summer Institutes.pdf,"Weingart, Scott B. 2012. “Citing ODH’s Summer Institutes.” Blog. The Scottbot Irregular, February 10. http://www.scottbot.net/HIAL/.",,,,2012-02-10-citing-odhs-summer-institutes,,,,,
SBW-050,Halting Conditions,2012-03-02,Blog Post,,Weingart - 2012 - Halting Conditions.pdf,"Weingart, Scott B. 2012. “Halting Conditions.” Blog. The Scottbot Irregular, March 2.",,,,2012-03-02-halting-conditions,,,,,
SBW-051,Science Systems Engineering,2012-03-07,Blog Post,http://www.scottbot.net/HIAL/?p=13199,Weingart - 2012 - Science Systems Engineering.pdf,"Weingart, Scott B. 2012. “Science Systems Engineering.” Blog. The Scottbot Irregular, March 7. http://www.scottbot.net/HIAL/?p=13199.",,,,2012-03-07-science-systems-engineering,,,,,
SBW-052,The Internet Listens,2012-03-01,Blog Post,,Weingart - 2012 - The Internet Listens.pdf,"Weingart, Scott B. 2012. “The Internet Listens.” Blog. The Scottbot Irregular, March 1.",,,,2012-03-01-the-internet-listens,,,,,
SBW-053,ORBIS: The Next Step in Digital Humanities,2012-05-02,Blog Post,http://www.scottbot.net/HIAL/?p=15585,Weingart - 2012 - ORBIS The next step in Digital Humanities.pdf,"Weingart, Scott B. 2012. “ORBIS: The Next Step in Digital Humanities.” Blog. The Scottbot Irregular, May 2. http://www.scottbot.net/HIAL/?p=15585.",,,,2012-05-02-orbis-the-next-step-in-digital-humanities,,,,,
SBW-054,The Myth of Text Analytics and Unobtrusive Measurement,2012-05-06,Blog Post,http://www.scottbot.net/HIAL/?p=16713,Weingart - 2012 - The Myth of Text Analytics and Unobtrusive Measurement.pdf,"Weingart, Scott B. 2012. “The Myth of Text Analytics and Unobtrusive Measurement.” Blog. The Scottbot Irregular, May 6. http://www.scottbot.net/HIAL/?p=16713.",,,,2012-05-06-the-myth-of-text-analytics-and-unobtrusive-measurement,,,,,
SBW-055,Networks Demystified 3: The Power Law Rant,2012-06-08,Blog Post,http://www.scottbot.net/HIAL/?p=17824,Weingart - 2012 - Networks Demystified 3 The Power Law Rant.pdf,"Weingart, Scott B. 2012. “Networks Demystified 3: The Power Law Rant.” Blog. The Scottbot Irregular, June 8. http://www.scottbot.net/HIAL/?p=17824.",,,,2012-06-08-networks-demystified-3-the-power-law-rant,,,,,
SBW-056,Topic Modeling for Humanists: A Guided Tour,2012-07-25,Blog Post,http://www.scottbot.net/HIAL/?p=19113,Weingart - 2012 - Topic Modeling for Humanists A Guided Tour.pdf,"Weingart, Scott B. 2012. “Topic Modeling for Humanists: A Guided Tour.” Blog. The Scottbot Irregular, July 25. http://www.scottbot.net/HIAL/?p=19113.",,,,2012-07-25-topic-modeling-for-humanists-a-guided-tour,,,,,
SBW-057,Google Maps for the Ancient World,2012-09-19,Blog Post,,Weingart - 2012 - Google Maps for the Ancient World.pdf,"Weingart, Scott B. 2012. “Google Maps for the Ancient World.” Blog. The Scottbot Irregular, September 19.",,,,2012-09-19-google-maps-for-the-ancient-world,,,,,
